height,blocktime,deviation
2136180,49,71
2136181,14,106
2136182,66,54
2136183,171,51
2136184,14,106
2136185,56,64
2136186,140,20
2136187,23,97
2136188,93,27
2136189,72,48
2136190,381,261
2136191,-11,131
2136192,142,22
2136193,69,51
2136194,2,118
2136195,9,111
2136196,34,86
2136197,34,86
2136198,378,258
2136199,83,37
2136200,335,215
2136201,75,45
2136202,32,88
2136203,114,6
2136204,21,99
2136205,495,375
2136206,478,358
2136207,74,46
2136208,13,107
2136209,116,4
2136210,24,96
2136211,51,69
2136212,31,89
2136213,-4,124
2136214,127,7
2136215,92,28
2136216,82,38
2136217,249,129
2136218,37,83
2136219,30,90
2136220,103,17
2136221,164,44
2136222,182,62
2136223,31,89
2136224,45,75
2136225,141,21
2136226,257,137
2136227,126,6
2136228,16,104
2136229,112,8
2136230,17,103
2136231,19,101
2136232,13,107
2136233,1288,1168
2136234,66,54
2136235,23,97
2136236,165,45
2136237,71,49
2136238,190,70
2136239,363,243
2136240,20,100
2136241,126,6
2136242,26,94
2136243,133,13
2136244,213,93
2136245,-24,144
2136246,189,69
2136247,185,65
2136248,73,47
2136249,51,69
2136250,158,38
2136251,-7,127
2136252,43,77
2136253,334,214
2136254,5,115
2136255,197,77
2136256,55,65
2136257,131,11
2136258,500,380
2136259,28,92
2136260,75,45
2136261,10,110
2136262,62,58
2136263,158,38
2136264,65,55
2136265,107,13
2136266,325,205
2136267,228,108
2136268,25,95
2136269,188,68
2136270,29,91
2136271,79,41
2136272,302,182
2136273,36,84
2136274,265,145
2136275,44,76
2136276,78,42
2136277,46,74
2136278,178,58
2136279,17,103
2136280,91,29
2136281,10,110
2136282,20,100
2136283,336,216
2136284,3,117
2136285,100,20
2136286,29,91
2136287,13,107
2136288,38,82
2136289,53,67
2136290,15,105
2136291,176,56
2136292,60,60
2136293,422,302
2136294,13,107
2136295,158,38
2136296,33,87
2136297,137,17
2136298,23,97
2136299,75,45
2136300,282,162
2136301,237,117
2136302,133,13
2136303,68,52
2136304,162,42
2136305,5,115
2136306,302,182
2136307,-34,154
2136308,50,70
2136309,51,69
2136310,137,17
2136311,410,290
2136312,55,65
2136313,512,392
2136314,6,114
2136315,155,35
2136316,36,84
2136317,84,36
2136318,538,418
2136319,57,63
2136320,123,3
2136321,64,56
2136322,191,71
2136323,49,71
2136324,34,86
2136325,41,79
2136326,56,64
2136327,176,56
2136328,144,24
2136329,9,111
2136330,48,72
2136331,121,1
2136332,24,96
2136333,71,49
2136334,18,102
2136335,422,302
2136336,61,59
2136337,48,72
2136338,60,60
2136339,44,76
2136340,199,79
2136341,60,60
2136342,38,82
2136343,226,106
2136344,9,111
2136345,202,82
2136346,349,229
2136347,56,64
2136348,31,89
2136349,49,71
2136350,143,23
2136351,42,78
2136352,24,96
2136353,49,71
2136354,9,111
2136355,90,30
2136356,95,25
2136357,60,60
2136358,236,116
2136359,49,71
2136360,45,75
2136361,180,60
2136362,254,134
2136363,185,65
2136364,19,101
2136365,35,85
2136366,112,8
2136367,23,97
2136368,14,106
2136369,21,99
2136370,837,717
2136371,39,81
2136372,309,189
2136373,266,146
2136374,41,79
2136375,182,62
2136376,2,118
2136377,217,97
2136378,32,88
2136379,24,96
2136380,185,65
2136381,184,64
2136382,60,60
2136383,272,152
2136384,29,91
2136385,37,83
2136386,63,57
2136387,102,18
2136388,-2,122
2136389,117,3
2136390,80,40
2136391,19,101
2136392,109,11
2136393,159,39
2136394,16,104
2136395,53,67
2136396,60,60
2136397,28,92
2136398,11,109
2136399,8,112
2136400,162,42
2136401,82,38
2136402,87,33
2136403,61,59
2136404,55,65
2136405,-13,133
2136406,87,33
2136407,21,99
2136408,93,27
2136409,68,52
2136410,36,84
2136411,31,89
2136412,-19,139
2136413,184,64
2136414,15,105
2136415,91,29
2136416,40,80
2136417,75,45
2136418,78,42
2136419,8,112
2136420,205,85
2136421,184,64
2136422,84,36
2136423,31,89
2136424,5,115
2136425,184,64
2136426,52,68
2136427,238,118
2136428,82,38
2136429,303,183
2136430,106,14
2136431,23,97
2136432,79,41
2136433,134,14
2136434,21,99
2136435,20,100
2136436,120,0
2136437,70,50
2136438,134,14
2136439,23,97
2136440,285,165
2136441,45,75
2136442,25,95
2136443,81,39
2136444,196,76
2136445,57,63
2136446,115,5
2136447,49,71
2136448,27,93
2136449,80,40
2136450,68,52
2136451,124,4
2136452,127,7
2136453,146,26
2136454,83,37
2136455,25,95
2136456,105,15
2136457,37,83
2136458,183,63
2136459,-10,130
2136460,61,59
2136461,28,92
2136462,15,105
2136463,2,118
2136464,36,84
2136465,208,88
2136466,27,93
2136467,48,72
2136468,18,102
2136469,13,107
2136470,53,67
2136471,29,91
2136472,48,72
2136473,89,31
2136474,209,89
2136475,23,97
2136476,219,99
2136477,252,132
2136478,-11,131
2136479,58,62
2136480,14,106
2136481,2,118
2136482,60,60
2136483,14,106
2136484,-2,122
2136485,-16,136
2136486,11,109
2136487,663,543
2136488,78,42
2136489,42,78
2136490,49,71
2136491,94,26
2136492,7,113
2136493,70,50
2136494,15,105
2136495,203,83
2136496,58,62
2136497,50,70
2136498,209,89
2136499,38,82
2136500,47,73
2136501,54,66
2136502,34,86
2136503,48,72
2136504,197,77
2136505,215,95
2136506,26,94
2136507,2,118
2136508,54,66
2136509,98,22
2136510,110,10
2136511,-17,137
2136512,13,107
2136513,21,99
2136514,225,105
2136515,255,135
2136516,65,55
2136517,304,184
2136518,-3,123
2136519,93,27
2136520,58,62
2136521,-3,123
2136522,8,112
2136523,138,18
2136524,69,51
2136525,9,111
2136526,6,114
2136527,170,50
2136528,18,102
2136529,52,68
2136530,-25,145
2136531,159,39
2136532,11,109
2136533,418,298
2136534,111,9
2136535,174,54
2136536,473,353
2136537,87,33
2136538,79,41
2136539,23,97
2136540,67,53
2136541,3,117
2136542,33,87
2136543,70,50
2136544,12,108
2136545,151,31
2136546,136,16
2136547,44,76
